Date,Bin,Species,Conductance,Leaf Temp,Time,Porometer ID
2022-06-27,A,POFR,19.7,33.2,8:47,USGS
2022-06-27,B,POFR,306.1,32.8,8:49,USGS
2022-06-27,C,POFR,369.7,32.7,8:51,USGS
2022-06-27,D,POFR,30.8,33.1,8:53,USGS
2022-06-27,E,POFR,540.4,33.3,8:54,USGS
2022-06-27,F,POFR,196.6,33.4,8:55,USGS
2022-06-27,G,POFR,27.5,33.1,8:56,USGS
2022-06-27,H,POFR,616.4,32.9,8:57,USGS
2022-06-27,I,POFR,323.5,33.3,8:59,USGS
2022-06-27,J,POFR,33.1,33.8,9:00,USGS
2022-06-27,K,POFR,437.1,33.9,9:01,USGS
2022-06-27,L,POFR,161.6,33,9:02,USGS
2022-06-27,M,POFR,29.8,32.1,9:03,USGS
2022-06-27,N,POFR,429.6,31.7,9:05,USGS
2022-06-27,O,SALA,480.5,31.7,9:06,USGS
2022-06-27,O,SALA,632.7,32.2,9:07,USGS
2022-06-27,N,SALA,483.7,30.7,9:09,USGS
2022-06-27,M,SALA,43.2,29.8,9:11,USGS
2022-06-27,L,SALA,517.1,29.6,9:12,USGS
2022-06-27,K,SALA,498.1,30,9:13,USGS
2022-06-27,J,SALA,41.4,30.7,9:15,USGS
2022-06-27,I,SALA,505.1,31.1,9:16,USGS
2022-06-27,H,SALA,484.1,30.8,9:17,USGS
2022-06-27,G,SALA,56.7,30.2,9:19,USGS
2022-06-27,F,SALA,607.1,30.2,9:20,USGS
2022-06-27,E,SALA,730.6,30.7,9:21,USGS
2022-06-27,D,SALA,46.3,31.6,9:23,USGS
2022-06-27,C,SALA,396.4,32.2,9:24,USGS
2022-06-27,B,SALA,434.4,32.1,9:25,USGS
2022-06-27,A,SALA,41,31.5,9:27,USGS
2022-06-27,A,SAEX,119.5,32.1,9:30,USGS
2022-06-27,B,SAEX,328.6,32.8,9:31,USGS
2022-06-27,C,SAEX,326.6,33.1,9:33,USGS
2022-06-27,D,SAEX,223.1,33,9:34,USGS
2022-06-27,E,SAEX,385.8,33,9:36,USGS
2022-06-27,F,SAEX,213.7,33.5,9:38,USGS
2022-06-27,G,SAEX,454.5,33.9,9:39,USGS
2022-06-27,H,SAEX,480.1,33.2,9:41,USGS
2022-06-27,I,SAEX,577.8,33.1,9:43,USGS
2022-06-27,J,SAEX,233.3,33.7,9:45,USGS
2022-06-27,K,SAEX,211.5,33.7,9:47,USGS
2022-06-27,L,SAEX,289.3,33,9:49,USGS
2022-06-27,M,SAEX,432.6,32.7,9:51,USGS
2022-06-27,N,SAEX,151.1,33.1,9:53,USGS
2022-06-27,O,SAEX,301,32.7,9:54,USGS
2022-06-27,O,BAEM,284.9,31.8,9:56,USGS
2022-06-27,O,BAEM,424,34.3,10:36,NAU
2022-06-27,N,BAEM,198.8,34.4,10:39,NAU
2022-06-27,M,BAEM,44.7,33.8,10:41,NAU
2022-06-27,L,BAEM,75.4,32.9,10:42,NAU
2022-06-27,K,BAEM,307.5,32.8,10:43,NAU
2022-06-27,J,BAEM,32.7,33.4,10:45,NAU
2022-06-27,I,BAEM,238.7,34,10:46,NAU
2022-06-27,H,BAEM,359.7,34.1,10:48,NAU
2022-06-27,G,BAEM,25.9,33.6,10:50,NAU
2022-06-27,F,BAEM,203.4,33.7,10:51,NAU
2022-06-27,E,BAEM,283.4,34.4,10:52,NAU
2022-06-27,D,BAEM,28.8,35.2,10:54,NAU
2022-06-27,C,BAEM,276.8,35,10:55,NAU
2022-06-27,B,BAEM,238.1,34.6,10:57,NAU
2022-06-27,A,BAEM,28,34.8,10:58,NAU
2022-06-27,A,PHAU,476.9,35,11:00,NAU
2022-06-27,B,PHAU,533,35.1,11:01,NAU
